com,Part_grave,age_moyen,Part_homme,mod_mois,mod_jour,Part_surf_degradee,Part_lum_degradee,Part_atm_degradee,Part_agglo,Part_secu,mod_int,mod_int,mod_col,mod_catr,circ,mod_plan,mod_situ,mod_trajet,mod_choc
13091,100.0,58.0,100.0,juin,mercredi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Aucun
13116,100.0,35.0,100.0,mars,dimanche,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Non renseigné,Arrière
1318,100.0,24.0,100.0,mars,dimanche,0.0,0.0,0.0,0.0,100.0,Intersection en X,Intersection en X,Deux véhicules - frontale,Route départementale,Bidirectionnelle,En courbe à droite,Sur chaussée,Promenade - loisirs,Avant
13204,14.285714285714285,26.857142857142858,85.71428571428571,avril,mercredi,0.0,0.0,0.0,100.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Non renseigné,Aucun
13208,57.14285714285714,44.857142857142854,85.71428571428571,juillet,lundi,0.0,0.0,0.0,100.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Non renseigné,Avant
13215,33.33333333333333,11.333333333333334,100.0,juin,jeudi,0.0,0.0,0.0,100.0,66.66666666666666,Hors intersection,Hors intersection,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
1334,100.0,71.0,100.0,juillet,lundi,0.0,0.0,0.0,0.0,100.0,Intersection en X,Intersection en X,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Arrière
1345,100.0,34.333333333333336,100.0,octobre,samedi,33.33333333333333,0.0,0.0,66.66666666666666,100.0,Hors intersection,Hors intersection,Deux véhicules - frontale,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
1347,100.0,48.0,100.0,mars,samedi,0.0,100.0,0.0,0.0,0.0,Giratoire,Giratoire,Deux véhicules - par le côté,Route départementale,A sens unique,En courbe à gauche,Sur chaussée,Promenade - loisirs,Côté droit
1361,100.0,14.0,100.0,juillet,dimanche,0.0,0.0,0.0,100.0,100.0,Hors intersection,Hors intersection,Deux véhicules - frontale,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Arrière
1379,100.0,60.0,0.0,avril,vendredi,0.0,0.0,0.0,100.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Arrière gauche
14020,0.0,38.75,100.0,octobre,mardi,0.0,0.0,25.0,75.0,50.0,Giratoire,Giratoire,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
1407,100.0,15.0,100.0,septembre,samedi,0.0,0.0,0.0,100.0,0.0,Intersection en T,Intersection en T,Deux véhicules - par le côté,Autre,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
